Overall_rank,Semester_Rank,Regn. No.,CS 221,EE 206,EE 207,EE 208,EE 209,EE 210,EE 213,EE 214,EE 215,GP,SGPA,CGPA
122,128,2013088,5,4,5,7,6,6,8,8,10,173,6.18,7.87
123,97,2013156,6,5,7,8,6,7,8,8,10,195,6.96,7.85
124,132,2013162,6,0,6,8,7,6,8,8,10,172,6.14,7.81
125,129,2013120,6,0,6,8,7,7,7,9,9,173,6.18,7.8
126,110,2013051,6,5,6,8,6,6,9,8,9,188,6.71,7.79
127,111,2013150,4,5,7,7,7,7,6,9,10,187,6.68,7.78
128,83,2013155,4,6,7,8,7,7,8,10,10,201,7.18,7.71
129,98,2013127,8,5,7,7,7,5,8,9,9,195,6.96,7.66
130,144,2013024,4,0,5,7,4,5,8,8,8,139,4.96,7.63
131,140,2013063,4,0,6,8,5,6,9,8,8,156,5.57,7.62
132,121,2013004,6,4,7,7,5,6,8,10,8,180,6.43,7.59
133,68,2013146,5,5,8,9,7,6,9,10,10,207,7.39,7.51
134,112,2013128,6,4,6,7,6,7,9,9,10,187,6.68,7.51
135,134,2013106,8,0,6,8,5,6,8,9,9,170,6.07,7.51
136,137,2013033,4,4,5,7,6,5,8,7,9,163,5.82,7.46
137,113,1913002,4,6,8,7,6,7,8,8,7,187,6.68,7.45
138,136,2013094,7,0,6,7,5,6,9,10,9,167,5.96,7.18
139,130,2013131,0,4,7,8,6,7,8,9,9,173,6.18,7.16
140,133,2013129,4,4,6,7,6,6,9,8,8,172,6.14,7.16
141,141,2013123,4,4,5,6,4,4,8,8,9,150,5.36,7.14
142,143,2013112,4,0,5,6,5,5,8,10,8,143,5.11,6.77
143,122,2013107,5,5,5,7,8,5,8,8,9,180,6.43,6.67
144,142,2013125,4,0,5,7,5,5,8,8,9,145,5.18,6.56
145,146,2013002,5,0,5,5,4,5,8,6,8,130,4.64,6.46
146,145,1913134,0,4,0,6,6,6,9,9,10,138,4.93,5.53
